PSR name	MJD	err	Δν/ν(10-9)	Error(10-9)	Catalogue
J1814-1744	51678	1	10	2	JBO
J1814-1744	52075	7	34	2	JBO
J1814-1744	53241	12	3	1	JBO
J1814-1744	53756.4	0.2	11	2	JBO
J1814-1744	54768.4	0.4	17	1	JBO
J1814-1744	55626	2	16	4	JBO
B1815-14	52057	7	0.54	0.05	JBO
J1819-1458	53925.79	0.04	725	3	JBO
J1819-1458	54176.5	0.2	72	1	JBO
B1821-11	54306	3	2877	0.2	JBO
J1821-1419	53074	546	225	4	JBO
J1821-1419	57372	6	109	7	JBO
J1821-1419	58860	50	222.4	3	JBO
B1821-24	51980	31	0.008	0.001	JBO
B1822-09	49942.1	0.4	2.8	0.2	JBO
B1822-09	50314	2	1.3	0.2	JBO
B1822-09	52056	1	29.8	0.1	JBO
B1822-09	52810	1	1.3	0.4	JBO
B1822-09	53734.6	0.1	4	1	JBO
B1822-09	54114.96	0.03	121	1	JBO
B1822-09	58486.2	0.9	3.8	0.1	JBO
B1823-13	46507	29	2746	1	JBO
B1823-13	49120	11	2984.6	0.3	JBO
B1823-13	53206	1	0.6	0.3	JBO
B1823-13	53259	1	3	1	JBO
B1823-13	53737	1	3581	1	JBO
B1823-13	56556	4	2599.7	0.3	JBO
B1823-13	58879	18	2481.5	1.1	JBO
B1824-10	48764	18	0.4	0.1	JBO
B1828-11	55040.9	0.2	6.3	0.5	JBO
B1830-08	47541.3	0.1	0.9	0.1	JBO
B1830-08	48051	4	1865.6	0.1	JBO
B1830-08	54779	2	0.5	0.1	JBO
J1830-1135	52367	6	2.1	0.3	JBO
J1833-1034	54169	7	3.1	0.1	JBO
J1833-1034	54423	9	1.1	0.1	JBO
J1833-1034	54750	15	3.6	0.1	JBO
J1833-1034	55142	2	7.5	0.1	JBO
J1832+0029	53498	50	66	1	JBO
B1834-10	55744	0.3	3.6	0.1	JBO
J1834-0731	53479	1	4.4	0.4	JBO
J1835-1020	57589.5	0.3	3.26	0.02	JBO
J1835-1106	52225.8	0.2	15.6	0.4	JBO
J1835-1106	58488	2	9.3	0.6	JBO
J1837-0604	55821	23	1398	1	JBO
J1837-0604	56511	0.4	16.7	0.8	JBO
J1837-0604	58233.7	0.8	70	1	JBO
J1837-0559	53150	1	3.2	0.3	JBO
J1837-0559	56258	52	0.2	0.2	JBO
J1837-0559	58022	4	3.4	0.3	JBO
AX_1838.0-0655	55010	4	1550	70	JBO
J1838-0537	55100	X	5500	0	JBO
J1838-0453	52162	213	9902	381	JBO
J1838-0453	54140	4	9	1	JBO
J1838-0453	58692	9	71	6	JBO
B1838-04	53388	10	578.6	0.03	JBO
J1839-0223	56994	2	3.17	0.04	JBO
J1841-0345	56863	34	3879	2	JBO
B1841-05	47452	1	1	0.1	JBO
J1841-0524	53562	1	29	1	JBO
J1841-0524	54012.9	0.1	25	2	JBO
J1841-0524	54503	21	1032	1	JBO
J1841-0524	55525	35	804.9	0.4	JBO
J1841-0524	56564.6	0.7	21.6	0.4	JBO
J1841-0524	58724	169	553	5	JBO
1E_1841-045	52464	X	15170	82	JBO
1E_1841-045	52997.05	X	2450	47	JBO
1E_1841-045	53823.97	X	1390	82	JBO
B1841-04	49358	9	0.22	0.01	JBO
J1841-0157	56923.6	0.4	33.3	0.4	JBO
J1842+0257	57112	55	12060.9	0.2	JBO
J1844-0310	54410	4	1.8	0.2	JBO
J1844+00	51435	3	0.3	0.1	JBO
J1844+00	51722.5	0.4	5.2	0.1	JBO
J1844+00	56784	43	249.55	0.03	JBO
J1845-0316	52128	1	30	1	JBO
J1845-0316	54170	34	72	1	JBO
J1845-0316	58617	164	818.84	0.22	JBO
J1845-0743	57393	23	0.04	0.01	JBO
J1846-0258	52210	10	2.5	0.2	JBO
J1846-0258	53883	2	6200	300	JBO
B1844-04	55502	2	0.52	0.04	JBO
B1844-04	56041	19	0.102	0.021	JBO
B1844-04	58244	21	0.16	0.04	JBO
J1847-0130	53426	2	15	2	JBO
J1847-0130	54784.45	0.01	80	2	JBO
J1847-0130	58857.79	0.26	567	5	JBO
J1849-0317	58306	4	33	2	JBO
J1851-0026	54493	1	0.9	0.2	JBO
J1850-0026	56239.2	0.5	14.3	0.3	JBO
J1850-0026	56425	11	91.9	0.3	JBO
J1850-0026	57495.3	0.6	7	0.2	JBO
J1850-0026	57708	9	1196.7	0.2	JBO
J1853+0056	54970	1	5.4	0.1	JBO
B1853+01	54123	1	11569	1	JBO
B1853+01	57325	34	3489	4	JBO
J1853+0545	53450	2	1.49	0.05	JBO
J1856+0245	56388	16	2672.5	0.7	JBO
B1859+01	51318	70	42.4	0.1	JBO
B1859+01	58149	40	1053.02	0.06	JBO
B1859+07	46860.95	0.02	28	1	JBO
B1900+06	48653.7	0.1	0.4	0.1	JBO
B1900+06	49447	1	0.3	0.1	JBO
B1900+06	50316	2	0.3	0.1	JBO
B1900+06	51136	4	0.4	0.1	JBO
