PSR name	Δν/ν (10-9)	Error (10-9)
J1703-4851	19	1
J1705-3950	9331	5
J1706-4434	9.5	0.09
J1708-4008	550	20
J1708-4008	51141	330
J1708-4008	2707	99
B1718-36	2702.18	0.04
J1822-1604	230	10
B1821-24A	0.0095	0.0001
J1841-0456	15170	711
J1841-0456	2450	47
J1841-0456	1390	82
J1841-0456	5500	4
J1844-0346	3450	11
J1851-0029	0.9	0.2
J1852-0635	1144.1	0.3
J1906+0722	4538	14
J1910+1026	78.4	0.8
J1915+1150	29.19	0.07
J1939+2609	0.333	0.003
J1947+1957	1.61	0.04
J1954+2529	0.61	0.05
J2301+5852	4240	110
J2301+5852	16300	200
J2301+5852	-310	40
J2301+5852	260	50
1E_2259+586	-310	40
1E_2259+586	260	50
B0833-45	1902.4	0.5
B0833-45	3057	2
B0833-45	1439.8	0.5
J1413-6205	1700	1
J2229+6114	66	0.9

